,ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM,FWBR,FWBR_N,layer
0,com.itextpdf.text.ExceptionConverter,10,4,0,0,21,3,68,10,0.7038973693795252,0.7149526154872053,0.0
1,com.itextpdf.text.pdf.qrcode.Version,13,1,0,5,27,46,2,8,-7.63913223746511,-8.438175731695429,2.0
2,com.itextpdf.text.pdf.codec.wmf.MetaObject,3,1,3,0,4,0,5,3,-0.43122065096921336,0.2020174351924956,0.0
3,com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,1,2,0,1,2,0,1,1,-1.5936685439397444,-1.4321507944656537,2.0
4,com.itextpdf.text.pdf.parser.LocationTextExtractionStrategy,8,1,0,6,31,14,2,6,-7.6067940399074,-8.772549081569384,11.0
5,com.itextpdf.text.pdf.fonts.FontsResourceAnchor,1,1,0,0,2,0,2,1,0.6001384041726006,0.5893628394357852,0.0
6,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,3,1,0,6,7,3,2,1,-7.236694156555887,-7.819483962251907,10.0
7,com.itextpdf.text.pdf.ArabicLigaturizer$charstruct,1,1,0,0,2,0,1,0,0.6001384041726006,0.5893628394357852,3.0
8,com.itextpdf.text.TextElementArray,1,1,0,1,1,0,5,1,-2.1914983684337828,-1.9813794314603237,3.0
9,com.itextpdf.text.pdf.CMapAwareDocumentFont,8,3,0,11,28,18,5,4,-8.980655740170803,-9.700611746123476,6.0
10,com.itextpdf.text.pdf.internal.PdfXConformanceImp,11,1,0,22,40,0,2,11,-11.803932331946688,-13.163151281963126,3.0
11,com.itextpdf.text.pdf.IntHashtable$Entry,4,1,0,0,5,0,3,2,0.10321440364588741,0.0709087371376953,3.0
12,com.itextpdf.text.pdf.PdfEncodings$SymbolConversion,5,1,0,2,11,2,1,3,-4.147668978311056,-4.716843839720589,3.0
13,com.itextpdf.text.pdf.ShadingColor,4,3,0,2,6,0,2,4,-3.2593651570057993,-3.1018910595383,3.0
14,com.itextpdf.text.pdf.qrcode.ByteMatrix,9,1,0,0,14,0,6,9,-0.12119864030217098,-0.46188804708558706,0.0
15,com.itextpdf.text.pdf.qrcode.BitArray,12,1,0,0,18,0,1,11,-0.24882827914744943,-0.6239407343566665,0.0
16,com.itextpdf.text.html.simpleparser.ImageStore,1,3,0,0,2,0,1,1,1.3542185433108733,1.7769261723301906,4.0
17,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$PushGraphicsState,3,1,0,5,8,3,2,1,-6.6051831619409604,-7.25767506295642,10.0
18,com.itextpdf.text.pdf.codec.TiffImage,10,1,0,18,76,45,1,6,-11.424870500313386,-13.24345844840835,3.0
19,com.itextpdf.text.xml.xmp.XmpReader,6,1,0,2,39,0,1,6,-3.6206072440484482,-5.013779772407672,1.0
20,com.itextpdf.text.pdf.OcspClient,1,1,0,0,1,0,1,1,0.4434171836130442,0.7348142194157778,0.0
21,com.itextpdf.text.pdf.BarcodePostnet,6,2,0,4,22,1,0,5,-5.4553473320020895,-6.23611600129601,5.0
22,com.itextpdf.text.exceptions.UnsupportedPdfException,1,5,0,1,2,0,2,1,-0.839588404801472,-0.24458746157124836,1.0
23,com.itextpdf.text.pdf.PdfOCG,2,1,0,2,2,1,11,2,-4.034662306563552,-3.9488814539004657,3.0
