,ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM,FWBR,FWBR_N,layer
0,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetRGBStroke,3,1,0,6,6,3,1,1,-7.288306989366029,-7.771582614048337,15.0
1,com.itextpdf.text.pdf.codec.TiffWriter$FieldImage,1,2,0,1,2,0,1,1,-1.5936685439397444,-1.4321507944656537,2.0
2,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextWordSpacing,3,1,0,6,7,3,2,1,-7.236694156555887,-7.819483962251907,15.0
3,com.itextpdf.text.pdf.internal.PdfXConformanceImp,8,1,0,21,32,0,1,8,-11.47872228274956,-12.826385451903358,8.0
4,com.itextpdf.text.pdf.languages.ArabicLigaturizer$charstruct,1,1,0,0,2,0,1,0,0.6001384041726006,0.5893628394357852,8.0
5,com.itextpdf.text.xml.xmp.XmpReader,6,1,0,4,43,0,0,6,-5.525609859649594,-7.049711398136748,1.0
6,com.itextpdf.text.xml.xmp.PdfProperties,4,1,0,2,6,6,1,4,-4.350639414109761,-4.608901451558095,5.0
7,com.itextpdf.text.pdf.BarcodePostnet,6,2,0,4,22,1,0,5,-5.4553473320020895,-6.23611600129601,10.0
8,com.itextpdf.text.pdf.security.CRLVerifier,6,3,0,7,44,1,2,5,-6.669616641781209,-7.82577363270858,5.0
9,com.itextpdf.text.xml.xmp.XmpBasicProperties,7,1,0,4,12,21,1,7,-6.64396032990839,-7.1590910097662706,7.0
10,com.itextpdf.text.exceptions.UnsupportedPdfException,1,5,0,1,2,0,4,1,-0.839588404801472,-0.24458746157124836,1.0
11,com.itextpdf.text.pdf.collection.PdfTargetDictionary,8,3,0,5,12,28,1,8,-6.7291389370824675,-6.7660121400339195,8.0
12,com.itextpdf.text.html.simpleparser.ImageProvider,1,1,0,3,1,0,2,1,-4.82641392048061,-4.697573082336425,11.0
13,com.itextpdf.text.pdf.PdfFileSpecification,15,3,0,14,51,93,8,15,-10.360520156653827,-11.216399203414348,8.0
14,com.itextpdf.text.pdf.interfaces.PdfVersion,4,1,0,2,4,6,2,4,-4.4806933658633925,-4.488199694087871,8.0
15,com.itextpdf.text.pdf.collection.PdfCollection,5,3,0,6,9,10,4,5,-6.910105250583738,-6.997425932009746,8.0
16,com.itextpdf.text.pdf.parser.InlineImageInfo,3,1,0,1,4,0,4,3,-2.415911412381841,-2.514176215683606,9.0
17,com.itextpdf.text.pdf.security.VerificationException,1,4,0,0,5,0,4,1,1.864894822036998,1.9105853972285247,0.0
18,com.itextpdf.text.pdf.parser.clipper.Clipper$Direction,4,2,0,1,7,4,2,2,-2.2582861006151425,-2.3180149548412143,1.0
19,com.itextpdf.text.xml.xmp.XmpBasicSchema,7,5,0,2,12,21,0,7,-3.5069294814436693,-3.2751063921088193,3.0
20,com.itextpdf.text.pdf.parser.TextRenderInfo,29,1,0,9,73,38,14,16,-9.809165460075922,-10.982332699759327,12.0
21,com.itextpdf.text.Annotation,29,1,0,3,37,126,4,28,-6.788188300199038,-7.346451236884565,8.0
22,com.itextpdf.text.html.HtmlTags,1,1,0,0,2,0,0,1,0.6001384041726006,0.5893628394357852,0.0
23,com.itextpdf.text.pdf.parser.clipper.Clipper,7,1,0,6,7,21,1,7,-8.11067852133026,-8.30343939594091,1.0
24,com.itextpdf.text.pdf.SequenceList,7,1,0,0,24,5,3,1,-0.047974557045202704,-0.8735712980942524,0.0
25,com.itextpdf.text.pdf.StampContent,6,2,0,11,10,0,2,2,-8.948323646698686,-9.288375862289008,8.0
26,com.itextpdf.text.pdf.PdfSignatureAppearance$1,1,1,0,1,3,0,1,0,-1.9235816722928396,-2.230030207878772,8.0
27,com.itextpdf.text.pdf.codec.PngWriter,14,1,0,1,27,71,1,9,-3.5943878309950743,-4.22344440916114,9.0
28,com.itextpdf.text.io.TempFileCache$ObjectPosition,1,1,0,1,2,0,2,0,-2.0347771478742263,-2.1268308114403163,8.0
29,com.itextpdf.text.pdf.parser.clipper.Point$DoublePoint,7,2,0,1,11,21,2,7,-2.750621104638262,-2.845084794773703,1.0
30,com.itextpdf.text.Anchor,18,5,0,6,41,0,1,17,-6.460946814610968,-6.763311787599848,8.0
31,com.itextpdf.text.pdf.security.XpathConstructor,1,1,0,0,1,0,3,1,0.4434171836130442,0.7348142194157778,0.0
32,com.itextpdf.text.pdf.PdfBody,6,2,0,3,7,15,1,6,-5.375614578585184,-5.324230105712086,8.0
33,com.itextpdf.text.pdf.codec.TiffWriter,7,1,0,2,26,9,2,7,-4.28298740831995,-5.29010322881697,2.0
34,com.itextpdf.text.pdf.PdfNumberTree,4,1,0,9,28,6,2,3,-8.378000109031174,-9.836726135435342,8.0
35,com.itextpdf.xmp.impl.XMPMetaParser,10,1,0,10,51,37,1,1,-9.465877454140914,-10.92956406718903,6.0
36,com.itextpdf.text.pdf.PdfLayerMembership,8,3,0,9,18,20,2,7,-8.468368618616653,-8.85089912340751,8.0
37,com.itextpdf.text.pdf.StringUtils,5,1,0,2,11,8,5,3,-4.338040358944201,-4.897195674004622,8.0
38,com.itextpdf.text.pdf.fonts.cmaps.AbstractCMap,15,1,5,5,27,97,9,7,-8.718328268855512,-8.598124738058363,8.0
39,com.itextpdf.text.pdf.security.CertificateInfo,5,1,0,7,13,10,2,5,-8.041734949864072,-8.828952359954044,3.0
40,com.itextpdf.text.io.IndependentRandomAccessSource,5,1,0,1,9,0,1,5,-2.4864421161459167,-2.8822168657418064,1.0
41,com.itextpdf.text.pdf.parser.XObjectDoHandler,2,1,0,3,2,1,4,2,-5.128251068096001,-5.0762036743171555,15.0
42,com.itextpdf.text.error_messages.MessageLocalization,11,1,0,1,35,47,136,6,-3.2407277958420626,-4.181330256163736,2.0
43,com.itextpdf.text.pdf.PdfDeveloperExtension,6,1,0,5,10,3,7,5,-6.994738635126197,-7.494440905109539,8.0
44,com.itextpdf.xmp.options.ParseOptions,13,2,0,1,16,78,5,11,-3.3046385629458674,-3.344678958763119,2.0
45,com.itextpdf.text.pdf.PdfReaderInstance,10,1,0,17,63,0,8,1,-10.627376662059412,-12.336729379700689,8.0
46,com.itextpdf.text.pdf.PdfColor,2,3,0,4,8,1,1,0,-4.797786356116746,-5.157161545192884,8.0
