,ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM,FWBR,FWBR_N,layer
384,com.itextpdf.text.pdf.PdfPCell,74,2,0,14,131,1295,10,73,-12.05762439251956,-12.929078374926018,4.0
385,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$PopGraphicsState,3,1,0,4,6,3,2,1,-6.009248293074411,-6.453069348123596,9.0
386,com.itextpdf.text.pdf.PdfPRow,19,1,0,13,90,1,3,14,-10.15512233792367,-11.76800579850872,4.0
387,com.itextpdf.text.log.LoggerFactory,7,1,0,2,11,0,4,5,-4.197429849439063,-4.621200468856985,3.0
388,com.itextpdf.text.pdf.BarcodeDatamatrix$ReedSolomon,5,1,0,0,6,6,1,0,-0.32658342645208993,-0.35752125504286986,5.0
389,com.itextpdf.text.pdf.parser.RenderListener,4,1,0,2,4,6,9,4,-4.4806933658633925,-4.488199694087871,8.0
390,com.itextpdf.text.pdf.PdfDestination,7,3,0,6,17,0,8,7,-6.507529291424817,-6.899343049655695,4.0
391,com.itextpdf.text.pdf.MappedRandomAccessFile,11,1,0,1,31,0,1,9,-2.6154382871073727,-3.503569084894228,0.0
392,com.itextpdf.text.exceptions.InvalidPdfException,1,4,1,0,2,0,3,1,1.2718657305789551,2.159236173646973,0.0
393,com.itextpdf.text.pdf.PdfPKCS7,57,1,0,46,220,1406,8,47,-16.440761236297742,-18.221903005789475,4.0
394,com.itextpdf.text.pdf.CrlClientImp,3,1,0,6,19,1,0,2,-6.762416580567845,-8.034393071054025,5.0
395,com.itextpdf.text.log.Level,4,2,0,1,7,4,6,2,-2.2582861006151425,-2.3180149548412143,0.0
396,com.itextpdf.text.pdf.BadPdfFormatException,2,5,0,1,4,1,5,0,-1.1007013858178627,-0.6610137407550956,2.0
397,com.itextpdf.text.pdf.PdfSigGenericPKCS$VeriSign,2,5,0,4,5,1,1,2,-4.513398972741822,-4.317030148238229,5.0
398,com.itextpdf.text.pdf.XfaForm,33,1,0,19,112,400,2,30,-12.788752681438975,-14.269804390904076,4.0
399,com.itextpdf.text.pdf.PdfDashPattern,6,3,0,4,12,0,5,6,-5.242793019030942,-5.424773363470199,4.0
400,com.itextpdf.text.pdf.parser.TextMarginFinder,11,1,0,4,16,0,0,11,-6.34309112369177,-6.867278710108235,9.0
401,com.itextpdf.text.pdf.interfaces.PdfRunDirection,2,1,0,0,2,1,1,2,0.1415800359976527,0.35618362743504833,0.0
402,com.itextpdf.text.pdf.PdfDocument$PdfInfo,10,3,0,6,18,45,2,0,-7.415889276835281,-7.641030124559775,4.0
403,com.itextpdf.text.exceptions.BadPasswordException,1,4,0,0,2,0,4,1,1.596978125896055,2.159236173646973,0.0
404,com.itextpdf.text.pdf.codec.CCITTG4Encoder,16,1,0,1,21,84,5,5,-3.820840205225836,-4.201036174955311,4.0
405,com.itextpdf.text.pdf.codec.BmpImage,29,1,0,12,59,264,2,5,-11.219613566034004,-12.249775618835113,4.0
406,com.itextpdf.text.pdf.PdfVisibilityExpression,6,3,0,6,11,15,1,6,-7.033233862972971,-7.169730483068769,4.0
407,com.itextpdf.text.Font$FontFamily,4,2,0,1,7,4,6,2,-2.2582861006151425,-2.3180149548412143,4.0
408,com.itextpdf.text.html.simpleparser.ImageProcessor,1,1,0,3,1,0,1,1,-4.82641392048061,-4.697573082336425,8.0
409,com.itextpdf.text.List,43,1,4,9,71,577,10,43,-11.361506795457043,-11.527862946738418,4.0
