ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM
com.itextpdf.text.pdf.qrcode.MatrixUtil,22,1,0,6,43,211,1,10
com.itextpdf.text.pdf.CFFFont$StringItem,3,2,0,1,7,0,2,3
com.itextpdf.text.pdf.events.IndexEvents$1,3,1,0,2,8,3,1,2
com.itextpdf.text.xml.XmlToTxt,8,1,0,3,14,22,1,7
com.itextpdf.text.html.WebColors,4,3,0,2,26,4,1,2
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$EndMarkedContent,3,1,0,4,5,3,1,1
com.itextpdf.text.pdf.parser.ContentByteUtils,3,1,0,7,22,3,3,2
com.itextpdf.text.pdf.security.TSAClient,3,1,0,0,3,3,4,3
com.itextpdf.text.html.simpleparser.HTMLTagProcessor,2,1,0,2,2,1,16,2
com.itextpdf.text.pdf.fonts.cmaps.CMapToUnicode,9,2,0,5,29,0,2,6
com.itextpdf.text.pdf.codec.LZWCompressor,3,1,0,2,11,0,1,3
com.itextpdf.text.ListItem,14,6,0,4,31,85,12,14
com.itextpdf.text.pdf.interfaces.IPdfStructureElement,2,1,0,2,2,1,3,2
com.itextpdf.awt.geom.QuadCurve2D,36,1,2,10,55,630,4,35
com.itextpdf.text.pdf.collection.PdfCollectionField,6,3,0,8,18,9,2,6
com.itextpdf.text.pdf.PdfPage,7,3,0,8,17,13,3,1
com.itextpdf.text.pdf.PdfPattern,2,4,0,10,16,1,2,0
com.itextpdf.text.pdf.security.TSAClientBouncyCastle,9,1,0,16,60,18,0,7
com.itextpdf.awt.PdfGraphics2D$HyperLinkKey,4,2,0,0,5,6,1,2
com.itextpdf.text.pdf.security.RootStoreVerifier,4,2,3,4,25,0,3,3
com.itextpdf.text.pdf.PdfName,10,2,0,4,37,35,153,9
com.itextpdf.text.pdf.internal.PdfAnnotationsImp,12,1,0,17,79,4,2,11
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$1,0,1,0,0,0,0,26,0
com.itextpdf.text.DocWriter,26,1,1,7,43,203,16,17
com.itextpdf.text.pdf.parser.PdfImageObject,11,1,0,24,57,25,1,8
com.itextpdf.text.pdf.XfaForm$Xml2SomTemplate,5,2,0,2,33,0,1,4
com.itextpdf.text.pdf.security.LtvVerification$CertificateInclusion,4,2,0,1,7,4,1,2
com.itextpdf.text.pdf.PdfStructureElement,9,3,0,10,24,2,2,6
com.itextpdf.text.pdf.security.MakeSignature$CryptoStandard,4,2,0,1,7,4,2,2
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$IgnoreXObjectDoHandler,3,1,0,5,4,3,1,1
com.itextpdf.text.pdf.FilterHandlers$Filter_LZWDECODE,3,1,0,6,6,3,1,1
com.itextpdf.text.pdf.parser.PdfTextExtractor,3,1,0,5,8,3,1,2
com.itextpdf.text.pdf.PdfContentByte$GraphicState,2,1,0,2,3,0,2,0
com.itextpdf.text.pdf.qrcode.WriterException,2,3,0,0,4,1,4,2
com.itextpdf.text.pdf.collection.PdfCollectionSort,4,3,0,6,14,6,1,4
com.itextpdf.text.pdf.CFFFont$IndexBaseItem,1,2,0,1,2,0,4,1
com.itextpdf.text.pdf.codec.wmf.InputMeta,8,1,0,2,12,0,5,8
com.itextpdf.text.html.simpleparser.HTMLTagProcessors,2,3,0,15,18,0,1,1
com.itextpdf.awt.geom.Point,16,2,0,1,23,32,1,16
com.itextpdf.text.pdf.PdfSignatureAppearance$RenderingMode,4,2,0,1,7,4,2,2
com.itextpdf.text.pdf.CompareTool$PngFileFilter,2,1,0,1,7,0,1,1
com.itextpdf.text.pdf.parser.TextExtractionStrategy,1,1,0,1,1,0,6,1
com.itextpdf.text.pdf.PdfAction,29,3,0,20,68,406,23,26
com.itextpdf.text.pdf.parser.PdfReaderContentParser,2,1,0,6,8,0,1,2
